WWTP_name,geometry
Plant_68717106,"POLYGON ((-114.5770042 33.5992969, -114.5762689 33.5996761, -114.5760324 33.599808, -114.5758739 33.5996189, -114.5757238 33.5994398, -114.5764657 33.5987969, -114.5766442 33.5989626, -114.5770042 33.5992969))"
Plant_68717847,"POLYGON ((-114.4775752 32.8662544, -114.477759 32.8664341, -114.4777776 32.8664675, -114.477822 32.8665068, -114.4778529 32.8665679, -114.4777001 32.8666747, -114.47756 32.866562, -114.4775048 32.8664399, -114.477448 32.8663783, -114.4774356 32.866356, -114.4774367 32.8663177, -114.4775291 32.86627, -114.4775752 32.8662544))"
Plant_68718916,"POLYGON ((-114.5751919 33.6001377, -114.5751788 33.5999179, -114.5757238 33.5994398, -114.5758739 33.5996189, -114.5760324 33.599808, -114.5762689 33.5996761, -114.5762951 33.6001816, -114.5752512 33.6011048, -114.5751919 33.6001377))"
Plant_68719700,"POLYGON ((-114.6496704 33.6837122, -114.6495192 33.6837231, -114.6494996 33.6837066, -114.6494668 33.6835252, -114.64948 33.683256, -114.6495129 33.6832066, -114.6497627 33.6831901, -114.6498087 33.6831957, -114.6498481 33.6832176, -114.649848 33.6836628, -114.6498413 33.6837287, -114.6496704 33.6837122))"
Plant_68719815,"POLYGON ((-114.2546937 34.1808303, -114.2544822 34.1809181, -114.2544425 34.1809345, -114.2544227 34.1809126, -114.2543105 34.1806928, -114.2546742 34.1805336, -114.2549188 34.1804459, -114.255064 34.1806437, -114.2550772 34.1806712, -114.2546937 34.1808303))"
Plant_68719835,"POLYGON ((-114.4778693 32.8666781, -114.4779457 32.8667402, -114.4779962 32.8667961, -114.4781033 32.8669247, -114.4779174 32.8670529, -114.4778163 32.8669409, -114.4777691 32.8667695, -114.4778693 32.8666781))"
Plant_68719871,"POLYGON ((-114.6685962 33.6492959, -114.6688919 33.6493069, -114.668905 33.6493289, -114.6688787 33.6494882, -114.6688655 33.6495047, -114.6688196 33.6495047, -114.6685633 33.6494607, -114.6684714 33.6494607, -114.6683925 33.6494717, -114.6683531 33.6494717, -114.6682939 33.6494607, -114.6682743 33.6494222, -114.6683006 33.6492903, -114.6683268 33.6492684, -114.6684255 33.6492684, -114.6685962 33.6492959))"
Plant_68720287,"POLYGON ((-114.254456 34.1805335, -114.2542511 34.1806158, -114.2540463 34.1803191, -114.2547009 34.1800722, -114.2548462 34.180303, -114.2548858 34.180358, -114.254456 34.1805335))"
Plant_68720814,"POLYGON ((-114.4773103 32.8664085, -114.477499 32.8666432, -114.4775679 32.8667436, -114.4775932 32.8667715, -114.4776118 32.8668049, -114.4774522 32.8669171, -114.4772619 32.8667374, -114.4772181 32.866676, -114.4771613 32.8666088, -114.477118 32.8665311, -114.4772314 32.8664344, -114.4772578 32.866424, -114.4773103 32.8664085))"
Plant_68720877,"POLYGON ((-114.5974526 33.5918215, -114.5974445 33.592103, -114.597415 33.5921499, -114.5971763 33.5921499, -114.5971575 33.5921142, -114.5971388 33.5918125, -114.5971763 33.591779, -114.5974177 33.591779, -114.5974526 33.5918215))"
